WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0063,6.11,0.95,28.06
W0064,6.12,1.99,48.84
W0065,6.15,1.85,96.69
W0066,6.20,1.77,153.43
W0067,6.22,1.39,62.73
W0068,6.26,1.48,24.58
W0069,6.31,1.68,152.05
W0070,6.41,1.27,105.66
W0071,6.42,1.98,140.29
W0072,6.45,1.59,136.34
W0073,6.50,0.91,116.4
W0074,7.11,0.74,164.32
W0075,7.14,0.63,109.55
W0076,7.17,1.98,165.68
W0077,7.18,1.91,165.98
W0078,7.19,1.71,168.1
W0079,7.24,0.71,51.25
W0080,7.29,1.21,61.52
W0081,7.29,1.63,158.03
W0082,7.30,1.54,80.25
W0083,7.34,1.4,62.56
W0084,7.35,1.64,125.63
W0085,7.44,0.87,73.41
W0086,7.50,1.79,41.38
W0087,8.04,1.18,152.69
W0088,8.06,1.39,171.01
W0089,8.11,1.38,78.56
W0090,8.11,1.25,167.86
W0091,8.13,1.32,58.31
W0092,8.15,1.85,49.78
W0093,8.38,0.89,121.02
W0094,8.40,0.71,84.02
W0095,8.40,1.26,86.96
W0096,8.54,1.78,67.57
W0097,8.56,1.13,41.5
W0098,9.01,1.82,142.27
W0099,9.12,0.98,157.21
W0100,9.17,1.07,102.85
W0101,9.28,1.17,144.35
W0102,9.43,1.52,47.24
W0103,9.43,0.68,173.2
W0104,9.45,0.62,97.31
W0105,9.47,0.62,85.55
W0106,9.57,1.9,89.57
W0107,9.58,1.0,112.51
W0108,10.01,1.05,42.95
W0109,10.02,0.71,128.93
W0110,10.13,1.18,139.31
W0111,10.14,1.14,115.98
W0112,10.20,0.87,88.97
W0113,10.26,0.6,100.48
W0114,10.44,1.83,117.48
W0115,10.49,1.58,91.4
W0116,10.49,1.16,36.07
W0117,11.03,1.08,55.28
W0118,11.11,1.66,170.7
W0119,11.15,1.95,116.56
W0120,11.15,0.7,136.57
W0121,11.15,1.11,94.94
W0122,11.16,0.64,92.17
W0123,11.23,0.79,99.62
W0124,11.28,1.52,177.47
W0125,11.31,0.83,33.09
W0126,11.40,1.66,120.23
W0127,11.42,0.8,94.46
W0128,11.44,0.84,45.99
W0129,11.48,1.37,96.93
W0130,11.52,1.44,115.45
W0131,12.07,1.24,48.1
W0132,12.08,1.86,83.02
W0133,12.17,1.88,123.74
W0134,12.20,1.38,119.78
W0135,12.21,1.74,172.8
W0136,12.25,0.75,49.23
W0137,12.27,0.8,81.22
W0138,12.28,1.75,139.66
W0139,12.39,1.05,82.84
W0140,12.40,1.31,98.32
W0141,12.47,1.53,99.29
W0142,12.58,1.34,68.57
W0143,13.07,1.9,170.9
W0144,13.22,1.84,91.11
W0145,13.24,1.37,59.22
W0146,13.32,1.6,70.86
W0147,13.35,0.77,62.92
W0148,13.50,1.94,71.85
W0149,13.54,0.77,85.54
W0150,13.57,0.9,108.57
W0151,14.00,1.48,121.6
W0152,14.02,1.51,56.67
W0153,14.05,0.84,141.86
W0154,14.14,1.18,33.04
W0155,14.19,1.82,89.43
W0156,14.20,0.91,153.43
W0157,14.24,1.43,36.96
W0158,14.31,1.93,162.67
W0159,14.33,1.77,125.5
W0160,14.35,1.0,67.28
W0161,14.40,1.54,175.81
W0162,14.42,1.53,149.1
W0163,14.52,1.57,31.66
W0164,14.52,1.11,53.95
W0165,14.54,1.98,171.44
W0166,14.54,1.25,129.57
W0167,14.56,1.49,63.39
W0168,15.14,0.61,110.77
W0169,15.26,0.66,90.32
W0170,15.42,1.34,31.68
W0171,15.42,1.56,160.54
W0172,15.45,0.85,70.72
W0173,15.46,1.87,45.6
W0174,15.49,0.96,162.7
W0175,15.54,0.73,20.24
W0176,16.00,0.88,70.8
W0177,16.08,1.97,80.0
W0178,16.22,1.25,119.32
W0179,16.24,1.99,117.24
W0180,16.27,0.97,83.43
W0181,16.32,1.72,61.94
W0182,16.48,1.4,173.96
W0183,16.58,0.97,109.68
W0184,16.59,1.57,164.91
W0185,17.00,0.74,39.95
W0186,17.11,1.67,150.62
W0187,17.21,1.15,175.42
W0188,17.26,1.15,172.93
W0189,17.32,1.26,177.54
W0190,17.33,1.55,155.38
W0191,17.37,1.61,20.37
W0192,17.37,1.71,139.72
W0193,17.40,1.0,169.63
W0194,17.40,1.08,139.57
W0195,17.43,0.99,143.31
W0196,17.51,1.3,77.24
W0197,17.58,1.54,65.47
W0198,18.02,1.03,28.08
W0199,18.14,1.5,71.96
W0200,18.17,1.33,49.71
W0201,18.27,1.33,162.18
W0202,18.38,0.66,54.26
W0203,18.39,1.02,100.29
W0204,18.45,1.43,109.66
W0205,18.51,1.44,117.61
W0206,18.55,1.24,138.05
W0207,18.56,1.02,164.74
W0208,18.57,1.36,130.7
W0209,18.59,1.55,172.48
W0210,19.01,1.76,152.33
W0211,19.06,1.25,174.39
W0212,19.08,1.81,174.24
W0213,19.12,1.13,94.37
W0214,19.27,1.87,108.84
W0215,19.41,1.24,90.57
W0216,19.56,1.09,89.39
W0217,20.09,1.65,112.86
W0218,20.16,0.79,157.08
W0219,20.25,1.54,139.71
W0220,20.25,0.61,68.21
W0221,20.33,1.17,121.5
W0222,20.41,0.83,120.22
W0223,20.44,1.91,116.09
W0224,20.46,0.64,21.4
W0225,20.49,1.01,46.15
W0226,20.51,1.16,27.77
W0227,20.52,1.48,135.76
W0228,20.55,1.93,129.63
W0229,20.58,1.15,130.51
W0230,21.00,1.6,62.62
W0231,21.00,1.13,60.71
W0232,21.11,1.58,77.97
W0233,21.20,1.51,159.83
W0234,21.23,0.63,71.26
W0235,21.32,1.33,149.96
W0236,21.32,1.31,120.13
W0237,21.33,1.85,111.82
W0238,21.36,1.0,175.09
W0239,22.00,1.41,102.64
W0240,22.10,1.29,106.12
W0241,22.24,1.25,86.84
W0242,22.33,1.69,47.58
W0243,22.40,1.53,159.12
W0244,22.44,1.55,116.17
W0245,22.46,1.26,70.57
W0246,22.51,0.64,178.16
W0247,22.52,1.27,47.18
W0248,22.58,1.04,27.81
W0249,22.59,1.33,160.4
W0250,23.00,0.64,95.77
W0251,23.01,0.97,165.03
W0252,23.11,1.74,52.51
W0253,23.12,1.39,105.92
W0254,23.15,0.9,124.1
W0255,23.21,1.67,130.32
W0256,23.24,1.42,150.4
W0257,23.26,1.74,26.1
W0258,23.39,1.95,58.49
W0259,23.42,1.2,101.92
W0260,23.46,0.88,159.75
W0261,23.50,1.54,172.02
W0262,23.53,0.8,109.32
W0263,23.58,1.36,73.1
