WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0155,10.59,0.71,34.96
W0156,11.11,1.48,82.63
W0157,11.11,1.4,138.21
W0158,11.13,1.53,55.49
W0159,11.17,1.62,105.77
W0160,11.20,1.18,131.73
W0161,11.22,1.12,36.38
W0162,11.24,1.87,62.17
W0163,11.24,1.77,128.57
W0164,11.25,0.88,29.92
W0165,11.31,0.72,137.85
W0166,11.32,0.78,173.2
W0167,11.34,1.99,62.0
W0168,11.36,1.5,78.23
W0169,11.37,0.83,51.23
W0170,11.39,1.92,79.68
W0171,11.41,1.88,134.08
W0172,11.41,1.17,92.11
W0173,11.43,1.89,128.54
W0174,11.43,1.8,79.43
W0175,11.44,1.58,101.57
W0176,11.45,1.64,91.37
W0177,11.46,0.99,161.0
W0178,11.51,0.72,122.94
W0179,11.51,1.13,150.13
W0180,11.54,0.64,136.22
W0181,11.55,0.82,66.0
W0182,12.10,1.59,49.85
W0183,12.15,1.72,150.09
W0184,12.17,1.96,156.48
W0185,12.17,1.96,152.94
W0186,12.18,1.83,113.04
W0187,12.20,1.79,124.71
W0188,12.27,0.77,174.33
W0189,12.31,0.85,146.09
W0190,12.38,0.73,46.09
W0191,12.38,1.98,167.11
W0192,12.40,1.23,163.86
W0193,12.42,1.02,58.54
W0194,12.45,1.15,33.94
W0195,12.49,1.83,111.57
W0196,12.52,1.44,62.2
W0197,12.53,1.98,77.77
W0198,12.54,1.44,142.56
W0199,12.56,1.7,146.6
W0200,13.06,1.72,91.75
W0201,13.07,1.6,50.13
W0202,13.13,1.5,85.6
W0203,13.14,0.68,104.39
W0204,13.18,1.86,165.54
W0205,13.21,1.75,27.79
W0206,13.22,1.94,71.58
W0207,13.25,1.09,89.19
W0208,13.28,0.83,31.95
W0209,13.30,1.06,177.8
W0210,13.33,0.68,168.77
W0211,13.35,0.77,86.25
W0212,13.40,1.64,38.55
W0213,13.41,1.62,165.99
W0214,13.42,1.2,176.55
W0215,13.43,1.04,170.47
W0216,13.44,1.66,91.2
W0217,13.46,1.9,171.32
W0218,13.49,0.63,145.88
W0219,13.50,0.99,176.05
W0220,13.53,1.09,80.53
W0221,13.59,1.81,157.63
W0222,14.03,0.78,42.18
W0223,14.04,1.3,86.95
W0224,14.04,1.76,133.94
W0225,14.07,1.96,159.43
W0226,14.08,0.85,53.78
W0227,14.12,1.51,167.59
W0228,14.13,1.91,106.95
W0229,14.13,0.64,98.34
W0230,14.13,1.54,102.69
W0231,14.15,1.88,79.17
W0232,14.16,1.3,83.23
W0233,14.17,0.77,85.12
W0234,14.18,1.36,23.89
W0235,14.20,1.58,79.07
W0236,14.21,1.86,67.47
W0237,14.22,1.2,25.64
W0238,14.27,1.75,123.39
W0239,14.28,1.23,169.76
W0240,14.29,0.6,169.74
W0241,14.37,1.08,166.78
W0242,14.39,1.64,42.14
W0243,14.39,1.84,106.14
W0244,14.53,1.04,92.59
W0245,14.54,0.71,72.21
W0246,14.55,0.61,148.84
W0247,14.55,0.68,163.04
W0248,14.58,1.23,38.17
W0249,14.59,1.29,38.03
W0250,15.00,0.63,30.71
W0251,15.04,0.76,32.32
W0252,15.05,0.61,167.05
W0253,15.06,1.02,29.53
W0254,15.07,1.06,173.35
W0255,15.08,0.75,102.64
W0256,15.10,1.14,129.89
W0257,15.14,1.96,25.55
W0258,15.14,0.94,38.73
W0259,15.15,0.98,66.93
W0260,15.16,0.84,166.72
W0261,15.20,2.0,116.05
W0262,15.20,1.46,28.01
W0263,15.21,1.03,56.86
W0264,15.21,1.71,94.77
W0265,15.22,0.95,102.65
W0266,15.23,1.6,112.1
W0267,15.24,0.73,44.78
W0268,15.29,1.53,88.91
W0269,15.36,0.99,63.28
W0270,15.39,1.61,145.38
W0271,15.41,0.78,103.24
W0272,15.42,1.14,166.95
W0273,15.45,1.0,129.41
W0274,15.48,1.39,36.64
W0275,15.50,1.16,20.88
W0276,15.54,1.63,124.96
W0277,15.56,1.92,63.25
W0278,16.00,1.12,54.36
W0279,16.00,0.81,106.04
W0280,16.02,1.92,117.81
W0281,16.05,0.61,50.22
W0282,16.06,1.72,23.64
W0283,16.07,1.5,44.62
W0284,16.09,1.67,20.42
W0285,16.11,1.81,25.67
W0286,16.11,1.32,101.23
W0287,16.13,1.71,146.11
W0288,16.15,0.81,153.65
W0289,16.22,1.19,88.31
W0290,16.22,1.32,60.36
W0291,16.24,0.75,118.88
W0292,16.24,1.69,170.71
W0293,16.25,1.99,28.1
W0294,16.28,0.88,37.7
W0295,16.28,0.78,84.94
W0296,16.28,1.02,86.35
W0297,16.31,1.47,35.02
W0298,16.33,1.97,142.4
W0299,16.33,1.34,145.04
W0300,16.35,1.43,164.16
W0301,16.35,0.81,102.86
W0302,16.42,1.89,26.94
W0303,16.42,0.63,68.93
W0304,16.44,0.65,158.07
W0305,16.55,1.12,74.77
W0306,16.55,1.17,53.76
W0307,16.57,1.6,93.56
W0308,16.58,1.35,87.76
W0309,16.58,1.8,34.14
W0310,16.59,0.97,58.76
W0311,17.11,1.47,99.47
W0312,17.13,1.34,142.33
W0313,17.17,1.11,64.45
W0314,17.17,1.43,127.68
W0315,17.20,1.65,44.89
W0316,17.20,1.65,130.22
W0317,17.26,0.87,174.92
W0318,17.27,0.97,53.9
W0319,17.27,0.69,125.04
W0320,17.34,1.28,36.99
W0321,17.41,1.82,141.48
W0322,17.41,1.54,172.54
W0323,17.43,1.78,102.96
W0324,17.43,1.52,125.62
W0325,17.44,1.97,167.11
W0326,17.49,0.75,171.72
W0327,17.50,1.31,166.44
W0328,17.58,0.85,49.07
W0329,18.00,0.65,70.02
W0330,18.00,0.94,123.8
W0331,18.03,1.36,53.93
W0332,18.14,0.98,45.6
W0333,18.23,1.81,53.16
W0334,18.24,0.82,149.12
W0335,18.26,1.34,110.12
W0336,18.28,0.95,94.1
W0337,18.54,0.78,166.2
W0338,18.57,1.38,165.45
W0339,19.31,1.36,132.98
W0340,19.39,1.47,176.69
W0341,19.59,1.74,60.05
W0342,20.02,1.34,28.97
W0343,20.05,1.68,121.06
W0344,20.12,1.78,94.77
W0345,20.15,1.5,163.36
W0346,20.18,1.34,146.48
W0347,20.25,1.44,36.61
W0348,20.28,1.98,96.62
W0349,20.31,1.03,102.69
W0350,20.32,1.0,171.3
W0351,20.36,1.85,157.37
W0352,20.37,1.51,21.28
W0353,20.38,1.95,41.07
W0354,20.40,1.62,66.6
W0355,20.41,0.63,105.87
W0356,20.48,1.85,73.01
W0357,20.49,1.68,69.37
W0358,20.55,1.01,98.56
W0359,20.59,0.85,61.49
W0360,21.02,1.25,30.8
W0361,21.03,1.89,32.81
W0362,21.10,1.77,67.16
W0363,21.12,1.75,24.35
W0364,21.14,0.73,158.32
W0365,21.16,1.19,89.2
W0366,21.21,0.6,166.98
W0367,21.39,1.08,72.88
W0368,21.45,1.37,37.78
W0369,21.47,1.36,125.07
W0370,21.50,1.55,156.03
W0371,21.56,1.92,134.63
W0372,22.10,1.25,63.94
W0373,22.12,1.64,93.48
W0374,22.13,0.99,89.83
W0375,22.15,0.71,166.0
W0376,22.18,1.95,40.14
W0377,22.27,1.33,114.91
W0378,22.35,1.77,43.41
W0379,22.48,1.98,82.85
W0380,22.52,1.9,149.86
W0381,22.55,1.44,171.14
W0382,23.04,1.41,145.24
W0383,23.05,0.98,38.19
W0384,23.05,1.08,58.36
W0385,23.07,0.93,95.81
W0386,23.10,1.98,149.79
W0387,23.10,2.0,56.2
W0388,23.12,0.76,78.72
W0389,23.18,1.32,168.38
W0390,23.26,1.31,166.0
W0391,23.29,0.77,112.91
W0392,23.35,1.04,94.43
W0393,23.42,1.13,125.17
W0394,23.43,1.19,167.46
